product_name_en,brands,quantity,category,subcategory,labels,ingredients_text_en,energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,fiber_value,proteins_value,sodium_value,monounsaturated-fat_value,polyunsaturated-fat_value,trans-fat_value,cholesterol_value,added-sugars_value,off:nova_groups,off:nutriscore_grade,has_gluten,has_milk,has_soybeans,has_nuts,has_mustards,has_peanuts,has_sulphur-dioxide-and-sulphites,has_sesame-seeds,health_score_standard,health_label_standard,health_confidence_standard,health_score_diabetic,health_label_diabetic,health_confidence_diabetic,health_score_hypertension,health_label_hypertension,health_confidence_hypertension,health_score_bodybuilder,health_label_bodybuilder,health_confidence_bodybuilder,health_score_vegan,health_label_vegan,health_confidence_vegan,health_score_vegetarian,health_label_vegetarian,health_confidence_vegetarian,health_score_eggetarian,health_label_eggetarian,health_confidence_eggetarian,health_score_jain,health_label_jain,health_confidence_jain,health_score_pregnancy,health_label_pregnancy,health_confidence_pregnancy,health_score_lactating,health_label_lactating,health_confidence_lactating,health_score_elderly,health_label_elderly,health_confidence_elderly
Wowzers Lemon,Sunfeast,,Sweets & Confectionery,Biscuits & Cookies,"Vegetarian, Green Dot India","MAIDA (REFINED WHEAT FLOUR), ENROBING CRÈME (21.2) (SUGAR, INTERESTERIFIED VEGETABLE FAT, MILK SOLIDS, ESTERS OF INTERESTERIFIED RICINOLEIC ACID (FROM CASTOR OIL)], NATURE IDENTICAL FLAVOURING SUBSTANCES, REFINED PALM OIL, SUGAR (4.9%), MARGARINE, REFINED PALMOLEIN, STARCH, LIQUID GLUCOSE, WHEAT GLUTEN, ARTIFICIAL FLAVOURING SUBSTANCES (CHEESE), DRIED YEAST, EMULSIFIER [MONO AND DIGLYCERIDES OF FATTY ACIDS, FLOUR TREATMENT AGENT (INS 223), NATURE IDENTICAL FLAVOURING SUBSTANCES.",499.0,22.7,13.9,66.9,20.7,,7.6,320.7,,,0.1,0.1399999999999999,17.2,4.0,e,1,1,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Pravin Mixed Pickle,Pravin,500 g,Condiments,Chutneys & Pickles,"Vegetarian, Green Dot India","Green Mango (43%), Lime (24%) todised Salt, Cotton Seed Oil, Acetic Acid (E260), Asafoetida.",249.0,16.4,5.8,21.0,2.4,,4.3,1886.0,,,,,,3.0,e,0,0,0,0,0,0,0,0,1.0,green,high,0.36899999999999994,green,high,1.0,green,high,1.0,green,high,0.39699999999999996,green,high,0.39699999999999996,green,high,0.39699999999999996,green,high,0.39699999999999996,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Smoodh Chocolate Hazelnut,Parle Agro,80 ml,Beverages,Milk-Based Beverages,"Vegetarian, Green Dot India","WATER, MILK SOLIDS, SUGAR, WHEY POWDER, COCOA SOLIDS (1%), MALT EXTRACT, EMULSIFIERS AND STABILIZERS [INS 460(1), INS 471, INS 466, INS 407, INS 340, INS 452], NATURE IDENTICAL FLAVOURING SUBSTANCE (CHOCOLATE, HAZELNUT) AND IODISED SALT. ALLERGEN INFORMATION: CONTAINS MILK, BARLEY, WHEAT AND MILLET.",83.8,1.8,1.2,14.7,13.9,,2.2,67.8,,,0.05,4.1000000000000005,7.0,4.0,c,1,1,0,1,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,0.7100000000000001,green,high,0.7100000000000001,green,high,0.7100000000000001,green,high,0.7100000000000001,green,high,1.0,green,high,1.0,green,high,1.0,green,high
5050 Golmaal,Britannia,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","REFINED WHEAT FLOUR (MAIDA), SUGAR (20.7%), REFINED PALM & PALMOLEIN OIL, RAISING AGENTS [503(ii), 500(ii) & 341(i)], CUMIN BLACK (KALONJI) (0.9%), IODISED SALT, INVERT SUGAR SYRUP, MILK SOLIDS, EMULSIFIERS [322(i) & 471], NATURE IDENTICAL FLAVOURING SUBSTANCES OUGH CONDITIONER (223), IMPROVER (i)] AND COLOUR (102).",484.0,18.4,8.8,72.6,22.1,0.0,7.0,465.0,7.2,2.1,0.0,0.0,21.2,4.0,e,1,1,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Heritage Toned Uht Milk,Heritage,1L,Dairy,Milk & Milk Variants,"Vegetarian, Green Dot India","Milk Solids (Toned Milk), Vitamin A (Palmitate) & Vitamin D (Ergocalciferol)",58.0,3.0,2.0,4.5,,,3.1,40.0,,,,,,1.0,unknown,0,1,0,0,0,0,0,0,1.0,green,high,0.093,amber,high,1.0,green,high,1.0,green,high,0.217,amber,high,0.217,amber,high,0.217,amber,high,0.217,amber,high,1.0,green,high,1.0,green,high,1.0,green,high
Sunrise Sabji Masala,"Itc, Sunrise",50g,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Nescafe Sunrise,Nescafe,1.9g,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",COFFEE BEANS (60%)&CHICORY,,,,,,,,,,,,,,1.0,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Paper Boat Indigo Exclusive Mango Basil,Paper Boat,170ml,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India, No added sugar","Water, Mango Pulp (51%) Apple Juice Concentrate (7%). Flavours (Natural and Nature-Identical Flavouring Substances), Lemon Juice Concentrate, Dried Basil Leaves.",50.4,0.0,0.0,12.6,11.9,0.0,0.0,2.5,,,,,,4.0,e,0,0,0,0,0,0,0,0,0.8140000000000001,green,high,1.0,green,high,0.25,green,high,0.48200000000000004,green,high,0.4760000000000001,green,high,0.4760000000000001,green,high,0.4760000000000001,green,high,0.4760000000000001,green,high,0.889,green,high,0.6950000000000001,green,high,0.795,green,high
Raw Pressery Sugarcane,Raw Pressery,,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India","SUGARCANE JUICE (53%), WATER, LEMON JUICE (2%), PECTIN, GINGER EXTRACT, ANTIOXIDANTS VITAMIN C-INS 300),INS 224],STEVIA",43.0,0.1,,10.1,9.8,,0.5,2.8,,,,,,4.0,unknown,0,0,0,0,0,0,0,0,0.73,green,high,0.9950000000000001,green,high,0.295,green,high,0.484,green,high,0.42700000000000005,green,high,0.42700000000000005,green,high,0.42700000000000005,green,high,0.42700000000000005,green,high,0.8240000000000001,green,high,0.637,green,high,0.7390000000000001,green,high
Pulses Chana Dal 2Kg,Good Life,2kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",Chana dal,,,,,,,,,,,,,,1.0,a,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
